[Spectrum]																																																																																																																																				
IDData	00E5_2023-03-10_14-52-09_546_301	00E5_2023-03-10_14-52-12_546_313	00E5_2023-03-10_14-52-14_546_323	00E5_2023-03-10_14-52-16_546_335	00E5_2023-03-10_14-52-18_546_343	00E5_2023-03-10_14-52-20_546_353	00E5_2023-03-10_14-52-22_546_365	00E5_2023-03-10_14-52-24_546_373	00E5_2023-03-10_14-52-26_546_383	00E5_2023-03-10_14-52-28_546_395	00E5_2023-03-10_14-52-30_546_403	00E5_2023-03-10_14-53-31_855_418	00E5_2023-03-10_14-53-34_855_430	00E5_2023-03-10_14-53-36_855_440	00E5_2023-03-10_14-53-38_855_452	00E5_2023-03-10_14-53-40_855_460	00E5_2023-03-10_14-53-42_855_470	00E5_2023-03-10_14-53-44_855_482	00E5_2023-03-10_14-53-47_855_499	00E5_2023-03-10_14-53-50_855_511	00E5_2023-03-10_14-53-52_855_521	00E5_2023-03-10_14-53-54_855_533	00E5_2023-03-10_14-53-57_855_550	00E5_2023-03-10_14-54-00_855_560	00E5_2023-03-10_14-54-02_855_572	00E5_2023-03-10_14-54-04_855_580	00E5_2023-03-10_14-54-06_855_590	00E5_2023-03-10_14-54-08_855_602	00E5_2023-03-10_14-54-11_855_619	00E5_2023-03-10_14-54-42_415_631	00E5_2023-03-10_14-54-45_414_643	00E5_2023-03-10_14-54-48_414_655	00E5_2023-03-10_14-54-50_414_665	00E5_2023-03-10_14-54-52_414_677	00E5_2023-03-10_14-54-54_414_685	00E5_2023-03-10_14-54-56_414_695	00E5_2023-03-10_14-54-58_414_707	00E5_2023-03-10_14-55-01_414_724	00E5_2023-03-10_14-55-04_414_736	00E5_2023-03-10_14-55-06_414_746	00E5_2023-03-10_14-55-08_414_758	00E5_2023-03-10_14-55-11_414_775	00E5_2023-03-10_14-55-14_414_787	00E5_2023-03-10_14-55-16_414_797	00E5_2023-03-10_14-55-55_677_814	00E5_2023-03-10_14-55-58_677_826	00E5_2023-03-10_14-56-00_677_836	00E5_2023-03-10_14-56-02_677_848	00E5_2023-03-10_14-56-04_677_856	00E5_2023-03-10_14-56-06_677_866	00E5_2023-03-10_14-56-08_677_878	00E5_2023-03-10_14-56-10_677_886	00E5_2023-03-10_14-56-12_677_896	00E5_2023-03-10_14-56-45_927_913	00E5_2023-03-10_14-56-48_927_925	00E5_2023-03-10_14-56-50_927_935	00E5_2023-03-10_14-56-52_927_947	00E5_2023-03-10_14-56-54_927_955	00E5_2023-03-10_14-56-56_927_965	00E5_2023-03-10_14-56-58_927_977	00E5_2023-03-10_14-57-00_927_985	00E5_2023-03-10_14-57-02_927_995	00E5_2023-03-10_14-57-04_927_007	00E5_2023-03-10_14-57-06_927_015	00E5_2023-03-10_14-57-08_927_025	00E5_2023-03-10_14-57-10_927_037	00E5_2023-03-10_14-58-30_167_049	00E5_2023-03-10_14-58-34_167_060	00E5_2023-03-10_14-58-37_167_072	00E5_2023-03-10_14-58-39_167_082	00E5_2023-03-10_14-58-42_167_099	00E5_2023-03-10_14-58-45_167_111	00E5_2023-03-10_14-58-47_167_121	00E5_2023-03-10_14-59-29_346_132	00E5_2023-03-10_14-59-32_345_144	00E5_2023-03-10_14-59-34_345_154	00E5_2023-03-10_14-59-36_345_162	00E5_2023-03-10_14-59-39_345_174	00E5_2023-03-10_14-59-41_345_184	00E5_2023-03-10_14-59-43_345_192	00E5_2023-03-10_14-59-46_345_204	00E5_2023-03-10_14-59-48_345_214	00E5_2023-03-10_14-59-50_345_222	00E5_2023-03-10_14-59-53_345_234	00E5_2023-03-10_14-59-55_345_244	00E5_2023-03-10_14-59-57_345_252	00E5_2023-03-10_15-00-00_345_262	00E5_2023-03-10_15-00-36_756_270	00E5_2023-03-10_15-00-39_756_282	00E5_2023-03-10_15-00-42_756_294	00E5_2023-03-10_15-00-44_756_304	00E5_2023-03-10_15-00-47_756_321	00E5_2023-03-10_15-00-50_756_333	00E5_2023-03-10_15-00-52_756_343	00E5_2023-03-10_15-01-24_316_358	00E5_2023-03-10_15-01-52_397_370	00E5_2023-03-10_15-01-55_397_384	00E5_2023-03-10_15-01-58_397_396	00E5_2023-03-10_15-02-01_397_411	00E5_2023-03-10_15-02-04_397_423	00E5_2023-03-10_15-02-06_397_433	00E5_2023-03-10_15-02-09_397_450	00E5_2023-03-10_15-02-12_397_462	00E5_2023-03-10_15-02-15_397_477	00E5_2023-03-10_15-02-18_397_489	00E5_2023-03-10_15-02-20_397_499	00E5_2023-03-10_15-02-50_207_516	00E5_2023-03-10_15-02-53_207_528	00E5_2023-03-10_15-02-56_207_540	00E5_2023-03-10_15-02-58_207_550	00E5_2023-03-10_15-03-01_207_567	00E5_2023-03-10_15-03-04_207_579	00E5_2023-03-10_15-03-06_207_589	00E5_2023-03-10_15-03-09_207_612	00E5_2023-03-10_15-03-13_207_624	00E5_2023-03-10_15-06-33_766_646	00E5_2023-03-10_15-06-38_766_681	00E5_2023-03-10_15-06-46_766_703	00E5_2023-03-10_15-07-16_888_738	00E5_2023-03-10_15-07-25_888_757	00E5_2023-03-10_15-07-30_888_780	00E5_2023-03-10_15-07-56_767_801	00E5_2023-03-10_15-08-01_766_820	00E5_2023-03-10_15-08-06_766_837	00E5_2023-03-10_15-08-11_766_856	00E5_2023-03-10_15-08-41_157_873	00E5_2023-03-10_15-08-46_157_892	00E5_2023-03-10_15-08-51_157_916	00E5_2023-03-10_15-08-56_157_937	00E5_2023-03-10_15-09-22_937_972	00E5_2023-03-10_15-09-31_937_000	00E5_2023-03-10_15-09-38_937_026
IDDevice	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404
DateTime	2023-03-10 14:52:09	2023-03-10 14:52:12	2023-03-10 14:52:14	2023-03-10 14:52:16	2023-03-10 14:52:18	2023-03-10 14:52:20	2023-03-10 14:52:22	2023-03-10 14:52:24	2023-03-10 14:52:26	2023-03-10 14:52:28	2023-03-10 14:52:30	2023-03-10 14:53:31	2023-03-10 14:53:34	2023-03-10 14:53:36	2023-03-10 14:53:38	2023-03-10 14:53:40	2023-03-10 14:53:42	2023-03-10 14:53:44	2023-03-10 14:53:47	2023-03-10 14:53:50	2023-03-10 14:53:52	2023-03-10 14:53:54	2023-03-10 14:53:57	2023-03-10 14:54:00	2023-03-10 14:54:02	2023-03-10 14:54:04	2023-03-10 14:54:06	2023-03-10 14:54:08	2023-03-10 14:54:11	2023-03-10 14:54:42	2023-03-10 14:54:45	2023-03-10 14:54:48	2023-03-10 14:54:50	2023-03-10 14:54:52	2023-03-10 14:54:54	2023-03-10 14:54:56	2023-03-10 14:54:58	2023-03-10 14:55:01	2023-03-10 14:55:04	2023-03-10 14:55:06	2023-03-10 14:55:08	2023-03-10 14:55:11	2023-03-10 14:55:14	2023-03-10 14:55:16	2023-03-10 14:55:55	2023-03-10 14:55:58	2023-03-10 14:56:00	2023-03-10 14:56:02	2023-03-10 14:56:04	2023-03-10 14:56:06	2023-03-10 14:56:08	2023-03-10 14:56:10	2023-03-10 14:56:12	2023-03-10 14:56:45	2023-03-10 14:56:48	2023-03-10 14:56:50	2023-03-10 14:56:52	2023-03-10 14:56:54	2023-03-10 14:56:56	2023-03-10 14:56:58	2023-03-10 14:57:00	2023-03-10 14:57:02	2023-03-10 14:57:04	2023-03-10 14:57:06	2023-03-10 14:57:08	2023-03-10 14:57:10	2023-03-10 14:58:30	2023-03-10 14:58:34	2023-03-10 14:58:37	2023-03-10 14:58:39	2023-03-10 14:58:42	2023-03-10 14:58:45	2023-03-10 14:58:47	2023-03-10 14:59:29	2023-03-10 14:59:32	2023-03-10 14:59:34	2023-03-10 14:59:36	2023-03-10 14:59:39	2023-03-10 14:59:41	2023-03-10 14:59:43	2023-03-10 14:59:46	2023-03-10 14:59:48	2023-03-10 14:59:50	2023-03-10 14:59:53	2023-03-10 14:59:55	2023-03-10 14:59:57	2023-03-10 15:00:00	2023-03-10 15:00:36	2023-03-10 15:00:39	2023-03-10 15:00:42	2023-03-10 15:00:44	2023-03-10 15:00:47	2023-03-10 15:00:50	2023-03-10 15:00:52	2023-03-10 15:01:24	2023-03-10 15:01:52	2023-03-10 15:01:55	2023-03-10 15:01:58	2023-03-10 15:02:01	2023-03-10 15:02:04	2023-03-10 15:02:06	2023-03-10 15:02:09	2023-03-10 15:02:12	2023-03-10 15:02:15	2023-03-10 15:02:18	2023-03-10 15:02:20	2023-03-10 15:02:50	2023-03-10 15:02:53	2023-03-10 15:02:56	2023-03-10 15:02:58	2023-03-10 15:03:01	2023-03-10 15:03:04	2023-03-10 15:03:06	2023-03-10 15:03:09	2023-03-10 15:03:13	2023-03-10 15:06:33	2023-03-10 15:06:38	2023-03-10 15:06:46	2023-03-10 15:07:16	2023-03-10 15:07:25	2023-03-10 15:07:30	2023-03-10 15:07:56	2023-03-10 15:08:01	2023-03-10 15:08:06	2023-03-10 15:08:11	2023-03-10 15:08:41	2023-03-10 15:08:46	2023-03-10 15:08:51	2023-03-10 15:08:56	2023-03-10 15:09:22	2023-03-10 15:09:31	2023-03-10 15:09:38
IDDataType	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM
IDDataTypeSub1	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED
IDDataTypeSub2																																																																																																																																				
IDDataTypeSub3																																																																																																																																				
RecordType	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDMethodType	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control	SAM Control
MethodName	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404	SAM_8404
Latitude	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Longitude	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
