[Spectrum]																																																																																																																																						
IDData	00E5_2023-03-10_14-52-09_546_304	00E5_2023-03-10_14-52-12_546_316	00E5_2023-03-10_14-52-15_546_331	00E5_2023-03-10_14-52-18_546_346	00E5_2023-03-10_14-52-21_546_361	00E5_2023-03-10_14-52-24_546_376	00E5_2023-03-10_14-52-27_546_391	00E5_2023-03-10_14-52-30_546_406	00E5_2023-03-10_14-53-31_855_421	00E5_2023-03-10_14-53-34_855_433	00E5_2023-03-10_14-53-37_855_448	00E5_2023-03-10_14-53-40_855_463	00E5_2023-03-10_14-53-43_855_478	00E5_2023-03-10_14-53-46_855_490	00E5_2023-03-10_14-53-48_855_502	00E5_2023-03-10_14-53-50_855_514	00E5_2023-03-10_14-53-53_855_529	00E5_2023-03-10_14-53-56_855_541	00E5_2023-03-10_14-53-58_855_553	00E5_2023-03-10_14-54-01_855_568	00E5_2023-03-10_14-54-04_855_583	00E5_2023-03-10_14-54-07_855_598	00E5_2023-03-10_14-54-10_855_610	00E5_2023-03-10_14-54-12_855_622	00E5_2023-03-10_14-54-42_415_634	00E5_2023-03-10_14-54-45_414_646	00E5_2023-03-10_14-54-48_414_658	00E5_2023-03-10_14-54-51_414_673	00E5_2023-03-10_14-54-54_414_688	00E5_2023-03-10_14-54-57_414_703	00E5_2023-03-10_14-55-00_414_715	00E5_2023-03-10_14-55-02_414_727	00E5_2023-03-10_14-55-04_414_739	00E5_2023-03-10_14-55-07_414_754	00E5_2023-03-10_14-55-10_414_766	00E5_2023-03-10_14-55-12_414_778	00E5_2023-03-10_14-55-14_414_790	00E5_2023-03-10_14-55-17_414_805	00E5_2023-03-10_14-55-55_677_817	00E5_2023-03-10_14-55-58_677_829	00E5_2023-03-10_14-56-01_677_844	00E5_2023-03-10_14-56-04_677_859	00E5_2023-03-10_14-56-07_677_874	00E5_2023-03-10_14-56-10_677_889	00E5_2023-03-10_14-56-13_677_904	00E5_2023-03-10_14-56-45_927_916	00E5_2023-03-10_14-56-48_927_928	00E5_2023-03-10_14-56-51_927_943	00E5_2023-03-10_14-56-54_927_958	00E5_2023-03-10_14-56-57_927_973	00E5_2023-03-10_14-57-00_927_988	00E5_2023-03-10_14-57-03_927_003	00E5_2023-03-10_14-57-06_927_018	00E5_2023-03-10_14-57-09_927_033	00E5_2023-03-10_14-58-30_167_045	00E5_2023-03-10_14-58-34_167_063	00E5_2023-03-10_14-58-38_167_078	00E5_2023-03-10_14-58-41_167_090	00E5_2023-03-10_14-58-43_167_102	00E5_2023-03-10_14-58-46_167_117	00E5_2023-03-10_14-59-29_346_135	00E5_2023-03-10_14-59-33_345_150	00E5_2023-03-10_14-59-36_345_165	00E5_2023-03-10_14-59-40_345_180	00E5_2023-03-10_14-59-43_345_195	00E5_2023-03-10_14-59-47_345_210	00E5_2023-03-10_14-59-50_345_225	00E5_2023-03-10_14-59-54_345_240	00E5_2023-03-10_14-59-57_345_255	00E5_2023-03-10_15-00-36_756_273	00E5_2023-03-10_15-00-39_756_285	00E5_2023-03-10_15-00-43_756_300	00E5_2023-03-10_15-00-46_756_312	00E5_2023-03-10_15-00-48_756_324	00E5_2023-03-10_15-00-51_756_339	00E5_2023-03-10_15-01-24_316_354	00E5_2023-03-10_15-01-52_397_366	00E5_2023-03-10_15-01-55_397_378	00E5_2023-03-10_15-01-57_397_390	00E5_2023-03-10_15-01-59_397_402	00E5_2023-03-10_15-02-02_397_414	00E5_2023-03-10_15-02-05_397_429	00E5_2023-03-10_15-02-08_397_441	00E5_2023-03-10_15-02-10_397_453	00E5_2023-03-10_15-02-13_397_468	00E5_2023-03-10_15-02-16_397_480	00E5_2023-03-10_15-02-19_397_495	00E5_2023-03-10_15-02-22_397_507	00E5_2023-03-10_15-02-50_207_519	00E5_2023-03-10_15-02-53_207_531	00E5_2023-03-10_15-02-57_207_546	00E5_2023-03-10_15-03-00_207_558	00E5_2023-03-10_15-03-02_207_570	00E5_2023-03-10_15-03-05_207_585	00E5_2023-03-10_15-03-08_207_597	00E5_2023-03-10_15-03-10_207_606	00E5_2023-03-10_15-03-12_207_618	00E5_2023-03-10_15-03-14_207_630	00E5_2023-03-10_15-06-33_766_639	00E5_2023-03-10_15-06-37_766_654	00E5_2023-03-10_15-06-40_766_663	00E5_2023-03-10_15-06-42_766_672	00E5_2023-03-10_15-06-44_766_684	00E5_2023-03-10_15-06-47_766_696	00E5_2023-03-10_15-07-16_888_711	00E5_2023-03-10_15-07-19_888_720	00E5_2023-03-10_15-07-21_888_729	00E5_2023-03-10_15-07-23_888_741	00E5_2023-03-10_15-07-26_888_750	00E5_2023-03-10_15-07-29_888_762	00E5_2023-03-10_15-07-31_888_771	00E5_2023-03-10_15-07-33_888_783	00E5_2023-03-10_15-07-56_767_792	00E5_2023-03-10_15-07-59_766_804	00E5_2023-03-10_15-08-02_766_813	00E5_2023-03-10_15-08-05_766_825	00E5_2023-03-10_15-08-08_766_840	00E5_2023-03-10_15-08-12_766_849	00E5_2023-03-10_15-08-41_157_864	00E5_2023-03-10_15-08-44_157_876	00E5_2023-03-10_15-08-47_157_888	00E5_2023-03-10_15-08-50_157_900	00E5_2023-03-10_15-08-52_157_909	00E5_2023-03-10_15-08-55_157_921	00E5_2023-03-10_15-08-57_157_930	00E5_2023-03-10_15-09-22_937_945	00E5_2023-03-10_15-09-25_937_954	00E5_2023-03-10_15-09-27_937_963	00E5_2023-03-10_15-09-29_937_975	00E5_2023-03-10_15-09-32_937_984	00E5_2023-03-10_15-09-34_937_993	00E5_2023-03-10_15-09-37_937_005	00E5_2023-03-10_15-09-40_937_017	00E5_2023-03-10_15-09-43_937_029
IDDevice	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c	SAM_875c
DateTime	2023-03-10 14:52:09	2023-03-10 14:52:12	2023-03-10 14:52:15	2023-03-10 14:52:18	2023-03-10 14:52:21	2023-03-10 14:52:24	2023-03-10 14:52:27	2023-03-10 14:52:30	2023-03-10 14:53:31	2023-03-10 14:53:34	2023-03-10 14:53:37	2023-03-10 14:53:40	2023-03-10 14:53:43	2023-03-10 14:53:46	2023-03-10 14:53:48	2023-03-10 14:53:50	2023-03-10 14:53:53	2023-03-10 14:53:56	2023-03-10 14:53:58	2023-03-10 14:54:01	2023-03-10 14:54:04	2023-03-10 14:54:07	2023-03-10 14:54:10	2023-03-10 14:54:12	2023-03-10 14:54:42	2023-03-10 14:54:45	2023-03-10 14:54:48	2023-03-10 14:54:51	2023-03-10 14:54:54	2023-03-10 14:54:57	2023-03-10 14:55:00	2023-03-10 14:55:02	2023-03-10 14:55:04	2023-03-10 14:55:07	2023-03-10 14:55:10	2023-03-10 14:55:12	2023-03-10 14:55:14	2023-03-10 14:55:17	2023-03-10 14:55:55	2023-03-10 14:55:58	2023-03-10 14:56:01	2023-03-10 14:56:04	2023-03-10 14:56:07	2023-03-10 14:56:10	2023-03-10 14:56:13	2023-03-10 14:56:45	2023-03-10 14:56:48	2023-03-10 14:56:51	2023-03-10 14:56:54	2023-03-10 14:56:57	2023-03-10 14:57:00	2023-03-10 14:57:03	2023-03-10 14:57:06	2023-03-10 14:57:09	2023-03-10 14:58:30	2023-03-10 14:58:34	2023-03-10 14:58:38	2023-03-10 14:58:41	2023-03-10 14:58:43	2023-03-10 14:58:46	2023-03-10 14:59:29	2023-03-10 14:59:33	2023-03-10 14:59:36	2023-03-10 14:59:40	2023-03-10 14:59:43	2023-03-10 14:59:47	2023-03-10 14:59:50	2023-03-10 14:59:54	2023-03-10 14:59:57	2023-03-10 15:00:36	2023-03-10 15:00:39	2023-03-10 15:00:43	2023-03-10 15:00:46	2023-03-10 15:00:48	2023-03-10 15:00:51	2023-03-10 15:01:24	2023-03-10 15:01:52	2023-03-10 15:01:55	2023-03-10 15:01:57	2023-03-10 15:01:59	2023-03-10 15:02:02	2023-03-10 15:02:05	2023-03-10 15:02:08	2023-03-10 15:02:10	2023-03-10 15:02:13	2023-03-10 15:02:16	2023-03-10 15:02:19	2023-03-10 15:02:22	2023-03-10 15:02:50	2023-03-10 15:02:53	2023-03-10 15:02:57	2023-03-10 15:03:00	2023-03-10 15:03:02	2023-03-10 15:03:05	2023-03-10 15:03:08	2023-03-10 15:03:10	2023-03-10 15:03:12	2023-03-10 15:03:14	2023-03-10 15:06:33	2023-03-10 15:06:37	2023-03-10 15:06:40	2023-03-10 15:06:42	2023-03-10 15:06:44	2023-03-10 15:06:47	2023-03-10 15:07:16	2023-03-10 15:07:19	2023-03-10 15:07:21	2023-03-10 15:07:23	2023-03-10 15:07:26	2023-03-10 15:07:29	2023-03-10 15:07:31	2023-03-10 15:07:33	2023-03-10 15:07:56	2023-03-10 15:07:59	2023-03-10 15:08:02	2023-03-10 15:08:05	2023-03-10 15:08:08	2023-03-10 15:08:12	2023-03-10 15:08:41	2023-03-10 15:08:44	2023-03-10 15:08:47	2023-03-10 15:08:50	2023-03-10 15:08:52	2023-03-10 15:08:55	2023-03-10 15:08:57	2023-03-10 15:09:22	2023-03-10 15:09:25	2023-03-10 15:09:27	2023-03-10 15:09:29	2023-03-10 15:09:32	2023-03-10 15:09:34	2023-03-10 15:09:37	2023-03-10 15:09:40	2023-03-10 15:09:43
IDDataType	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM	SPECTRUM
IDDataTypeSub1	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED	CALIBRATED
IDDataTypeSub2																																																																																																																																						
IDDataTypeSub3																																																																																																																																						
RecordType	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDMethodType	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control	SAMIP Control
MethodName	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E	SAMIP_512E
Latitude	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
