[Spectrum],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDData,00E5_2023-03-10_15-06-33_766_636,00E5_2023-03-10_15-06-35_766_643,00E5_2023-03-10_15-06-37_766_651,00E5_2023-03-10_15-06-39_766_660,00E5_2023-03-10_15-06-41_766_669,00E5_2023-03-10_15-06-43_766_678,00E5_2023-03-10_15-06-45_766_688,00E5_2023-03-10_15-06-47_766_693,00E5_2023-03-10_15-06-49_766_700,00E5_2023-03-10_15-07-16_888_708,00E5_2023-03-10_15-07-18_888_717,00E5_2023-03-10_15-07-20_888_726,00E5_2023-03-10_15-07-22_888_735,00E5_2023-03-10_15-07-25_888_747,00E5_2023-03-10_15-07-27_888_754,00E5_2023-03-10_15-07-30_888_768,00E5_2023-03-10_15-07-32_888_777,00E5_2023-03-10_15-07-56_767_789,00E5_2023-03-10_15-07-58_766_798,00E5_2023-03-10_15-08-01_766_810,00E5_2023-03-10_15-08-03_766_817,00E5_2023-03-10_15-08-06_766_829,00E5_2023-03-10_15-08-08_766_834,00E5_2023-03-10_15-08-11_766_846,00E5_2023-03-10_15-08-13_766_853,00E5_2023-03-10_15-08-41_157_861,00E5_2023-03-10_15-08-43_157_870,00E5_2023-03-10_15-08-45_157_880,00E5_2023-03-10_15-08-47_157_885,00E5_2023-03-10_15-08-49_157_897,00E5_2023-03-10_15-08-51_157_906,00E5_2023-03-10_15-08-53_157_913,00E5_2023-03-10_15-08-56_157_927,00E5_2023-03-10_15-08-58_157_934,00E5_2023-03-10_15-09-22_937_942,00E5_2023-03-10_15-09-24_937_951,00E5_2023-03-10_15-09-26_937_960,00E5_2023-03-10_15-09-28_937_969,00E5_2023-03-10_15-09-31_937_981,00E5_2023-03-10_15-09-33_937_990,00E5_2023-03-10_15-09-35_937_997,00E5_2023-03-10_15-09-38_937_009,00E5_2023-03-10_15-09-40_937_014,00E5_2023-03-10_15-09-42_937_023
IDDevice,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424
DateTime,2023-03-10 15:06:33,2023-03-10 15:06:35,2023-03-10 15:06:37,2023-03-10 15:06:39,2023-03-10 15:06:41,2023-03-10 15:06:43,2023-03-10 15:06:45,2023-03-10 15:06:47,2023-03-10 15:06:49,2023-03-10 15:07:16,2023-03-10 15:07:18,2023-03-10 15:07:20,2023-03-10 15:07:22,2023-03-10 15:07:25,2023-03-10 15:07:27,2023-03-10 15:07:30,2023-03-10 15:07:32,2023-03-10 15:07:56,2023-03-10 15:07:58,2023-03-10 15:08:01,2023-03-10 15:08:03,2023-03-10 15:08:06,2023-03-10 15:08:08,2023-03-10 15:08:11,2023-03-10 15:08:13,2023-03-10 15:08:41,2023-03-10 15:08:43,2023-03-10 15:08:45,2023-03-10 15:08:47,2023-03-10 15:08:49,2023-03-10 15:08:51,2023-03-10 15:08:53,2023-03-10 15:08:56,2023-03-10 15:08:58,2023-03-10 15:09:22,2023-03-10 15:09:24,2023-03-10 15:09:26,2023-03-10 15:09:28,2023-03-10 15:09:31,2023-03-10 15:09:33,2023-03-10 15:09:35,2023-03-10 15:09:38,2023-03-10 15:09:40,2023-03-10 15:09:42
IDDataType,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM,SPECTRUM
IDDataTypeSub1,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED,CALIBRATED
IDDataTypeSub2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDDataTypeSub3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDMethodType,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control,SAM Control
MethodName,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424,SAM_8424
Latitude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
