"wavelength","nadir","45","70","-70","-45"
319,63.6843332029056,62.3710057282864,60.957201241138,62.1606540595367,60.1000915495178
320,72.4472611397563,70.9710542173873,69.4510849138083,70.4959980360839,68.7182632665736
321,80.7195216904191,79.0227948957542,77.4447567363422,78.6148658630322,76.4489138422237
322,88.466836216844,86.5739440548109,84.8904747209019,86.0566914878293,83.7778190783139
323,95.7708854169885,93.5722493781346,91.815516662336,92.9507949651565,90.7365845532914
324,102.592807878793,100.149375262059,98.2791594103225,99.5124218436323,96.9349065503902
325,109.059141066442,106.395411964471,104.365967382089,105.798565234854,102.891129407524
326,115.252040184397,112.431515288337,110.217489851029,111.871081920572,108.755746727921
327,121.254099516599,118.307224191909,116.109867027986,117.73355533501,114.468461379094
328,126.676456130574,123.744678384833,121.427847854658,123.12316999088,119.798985207661
329,131.474541811289,128.372513630346,125.906848504788,127.701027909604,124.347254307728
330,135.00143307418,131.880683912107,129.279384324366,131.175327313143,127.781207933167
331,137.737391196996,134.570797751623,131.909473829849,133.895088244498,130.449458835618
332,140.483025758603,137.349937034964,134.68167366661,136.671841077215,133.19189286965
333,144.269481409755,140.943583040653,138.368324842217,140.383297415717,136.852023298287
334,149.228728930365,145.584461880145,143.209674309775,145.290857281529,141.677467012694
335,154.593143044518,150.837107868429,148.505211294015,150.599821448264,146.8857492299
336,159.483087026607,155.672955222734,153.334291432476,155.397285652013,151.592058156111
337,163.202364452891,159.3057456786,156.934369093345,159.001381391294,155.083549044238
338,165.831910887828,161.77888743539,159.357379743804,161.419155128686,157.422025172689
339,167.532985536192,163.494467267076,160.876808244764,162.934876000973,158.887315761928
340,168.475529567332,164.544524025385,161.772583977185,163.825381985241,159.764306253182
341,169.116787818737,165.248356332086,162.411120838701,164.33733327783,160.40570305197
342,169.916966517009,166.067109343316,163.216392786909,165.103821783905,161.212763685344
343,171.345947577478,167.460532396379,164.627419173866,166.469771575595,162.584369622539
344,173.537917820422,169.575780488527,166.756024930856,168.581597860979,164.64072877275
345,176.05720563851,172.021561831035,169.21282235625,171.28919455095,167.022031132129
346,178.412328919138,174.353335026286,171.552783159161,173.817622329066,169.320995401992
347,180.304667032585,176.283185867446,173.466612065758,175.759393329563,171.25420624268
348,182.077759767815,178.110592326166,175.257227287949,177.591543311607,173.096936334486
349,184.320418162282,180.297502682488,177.400075416844,179.714654543394,175.281902681957
350,187.349935958374,183.270508845969,180.309214313697,182.660709768738,178.191426827522
351,190.851807233725,186.740276920934,183.690002536656,186.123029126807,181.524580563281
352,194.055122122012,189.852590253692,186.72286856532,188.964470025515,184.488546814065
353,195.982163115295,191.714593224481,188.545344777328,190.707245297528,186.285341205181
354,196.262046098407,191.980213252143,188.831204044078,191.061481973484,186.591943739031
355,195.484135209989,191.220983888313,188.11055601906,190.512017843012,185.911937448212
356,194.319303965988,190.10039242158,187.000460662883,189.57993003774,184.831739639082
357,193.322925023298,189.25698686318,186.105404544969,188.652036851825,183.932981193819
358,193.150701699175,189.214968798812,185.972225317368,188.410337915025,183.77534727067
359,194.358884215035,190.465787747915,187.131248343682,189.513441398107,184.9122371488
360,197.424884248204,193.456591560093,190.060315302454,192.502094533608,187.848221819618
361,202.167381744364,198.037130922702,194.582682563591,197.193542202818,192.40781791132
362,207.906206418846,203.556222815899,200.083740513299,202.874362166804,197.916742718705
363,213.951151859792,209.369547183718,205.918015364792,208.820647849518,203.690838805948
364,219.742556098906,214.971490474937,211.536038398113,214.46468263708,209.190953885368
365,224.953324852337,220.062988391048,216.574466465744,219.51700563331,214.136265404481
366,229.309190372299,224.322120692435,220.745834209095,223.716881990004,218.27261977713
367,232.53592881385,227.48189121873,223.784207389506,226.833801224169,221.371185350179
368,234.521194863675,229.44853853243,225.671017316482,228.780141403356,223.322842308292
369,235.234457288201,230.186938037507,226.391989234658,229.510465227096,224.053813064758
370,234.679712160532,229.673838934383,225.872784629797,229.013809415349,223.526494487473
371,233.364054429113,228.402557792884,224.636347629751,227.781559397854,222.230429572174
372,232.226570052081,227.260297978266,223.606973905461,226.68507253861,221.053889787331
373,232.076090661479,227.127877548937,223.528697397296,226.598963824299,220.888847473098
374,233.193206434496,228.321317689757,224.634056345472,227.775328742921,222.002684522565
375,234.703384190524,229.897388378517,226.081261030448,229.316867040261,223.509563368224
376,235.564640410118,230.806097639614,226.912526837112,230.202178518621,224.399133653263
377,234.938558883536,230.198710791962,226.348758519321,229.604047249447,223.852611124091
378,232.967587715408,228.220777967606,224.49365181876,227.654598779076,221.997618302613
379,230.051655867837,225.366899631271,221.72303972314,224.781694055069,219.253525742889
380,226.595317571156,222.054724383741,218.387224346037,221.418287996902,216.043283882827
